incident_id,year,incident_type
4029,2024,Hijacking with Misuse
4029,2024,Ransomware
4026,2024,Disruption
4025,2024,Data theft & Doxing
4025,2024,Hijacking with Misuse
4022,2024,Data theft
4022,2024,Hijacking with Misuse
4022,2024,Ransomware
4021,2024,Disruption
4021,2024,Hijacking with Misuse
4020,2024,Data theft & Doxing
4020,2024,Hijacking with Misuse
4018,2024,Data theft
4018,2024,Hijacking without Misuse
4018,2024,Ransomware
4017,2024,Hijacking with Misuse
4014,2024,Disruption
4012,2024,Disruption
4012,2024,Hijacking with Misuse
4012,2024,Ransomware
4011,2024,Data theft
4011,2024,Hijacking without Misuse
4010,2024,Data theft
4010,2024,Hijacking without Misuse
4009,2020,Data theft
4009,2020,Hijacking with Misuse
4007,2024,Data theft & Doxing
4007,2024,Hijacking with Misuse
4007,2024,Ransomware
4007,2024,Data theft & Doxing
4007,2024,Hijacking with Misuse
4007,2024,Ransomware
4005,2020,Data theft
4005,2020,Hijacking without Misuse
4005,2020,Data theft
4005,2020,Hijacking without Misuse
4004,2024,Disruption
4004,2024,Hijacking with Misuse
4004,2024,Disruption
4004,2024,Hijacking with Misuse
4003,2024,Disruption
4002,2024,Data theft
4002,2024,Hijacking with Misuse
4002,2024,Ransomware
3992,2024,Hijacking with Misuse
3992,2024,Ransomware
3990,2024,Data theft
3990,2024,Disruption
3990,2024,Hijacking with Misuse
3990,2024,Ransomware
3989,2019,Data theft
3989,2019,Hijacking with Misuse
3988,2024,Hijacking without Misuse
3987,2024,Disruption
3987,2024,Hijacking with Misuse
3987,2024,Ransomware
3986,2024,Data theft
3986,2024,Hijacking with Misuse
3985,2024,Hijacking with Misuse
3984,2024,Data theft & Doxing
3984,2024,Hijacking with Misuse
3984,2024,Ransomware
3979,2024,Data theft
3979,2024,Hijacking with Misuse
3978,2024,Data theft
3978,2024,Hijacking with Misuse
3977,2024,Hijacking with Misuse
3976,2022,Hijacking with Misuse
3975,2024,Hijacking without Misuse
3974,2024,Disruption
3974,2024,Hijacking without Misuse
3974,2024,Ransomware
3972,2024,Data theft & Doxing
3972,2024,Ransomware
3971,2017,Hijacking without Misuse
3970,2017,Hijacking without Misuse
3969,2019,Hijacking without Misuse
3968,2019,Hijacking without Misuse
3967,2017,Hijacking without Misuse
3966,2019,Hijacking without Misuse
3965,2020,Data theft
3965,2020,Hijacking with Misuse
3964,2024,Data theft
3964,2024,Hijacking with Misuse
3963,2024,Disruption
3963,2024,Hijacking with Misuse
3963,2024,Ransomware
3962,2017,Hijacking without Misuse
3961,2024,Hijacking with Misuse
3960,2024,Hijacking with Misuse
3960,2024,Ransomware
3958,2024,Data theft
3957,2024,Disruption
3956,2024,Disruption
3955,2024,Disruption
3955,2024,Hijacking without Misuse
3954,2024,Data theft & Doxing
3953,2024,Data theft
3953,2024,Hijacking with Misuse
3952,2024,Disruption
3952,2024,Hijacking with Misuse
3952,2024,Ransomware
3951,2024,Disruption
3951,2024,Hijacking with Misuse
3950,2024,Disruption
3950,2024,Hijacking with Misuse
3950,2024,Ransomware
3949,2024,Data theft & Doxing
3949,2024,Hijacking with Misuse
3949,2024,Ransomware
3948,2024,Data theft
3948,2024,Hijacking with Misuse
3947,2024,Data theft & Doxing
3947,2024,Hijacking with Misuse
3947,2024,Ransomware
3946,2024,Hijacking with Misuse
3945,2024,Hijacking with Misuse
3943,2024,Disruption
3943,2024,Hijacking with Misuse
3943,2024,Ransomware
3941,2024,Data theft
3941,2024,Hijacking with Misuse
3938,2023,Hijacking without Misuse
3937,2024,Disruption
3937,2024,Hijacking with Misuse
3937,2024,Ransomware
3927,2024,Data theft & Doxing
3926,2023,Hijacking without Misuse
3925,2024,Hijacking with Misuse
3924,2024,Hijacking with Misuse
3923,2024,Data theft
3923,2024,Hijacking with Misuse
3922,2024,Not available
3919,2024,Hijacking without Misuse
3918,2023,Hijacking with Misuse
3918,2023,Ransomware
3917,2024,Data theft
3917,2024,Disruption
3917,2024,Hijacking with Misuse
3915,2024,Hijacking without Misuse
3913,2024,Data theft
3913,2024,Hijacking with Misuse
3912,2024,Data theft
3912,2024,Disruption
3912,2024,Hijacking with Misuse
3911,2020,Data theft
3911,2020,Hijacking with Misuse
3909,2024,Disruption
3908,2022,Data theft
3908,2022,Hijacking with Misuse
3907,2019,Data theft
3907,2019,Hijacking with Misuse
3906,2024,Disruption
3906,2024,Hijacking with Misuse
3905,2023,Data theft & Doxing
3905,2023,Hijacking with Misuse
3904,2024,Hijacking without Misuse
3903,2024,Disruption
3903,2024,Hijacking with Misuse
3903,2024,Ransomware
3902,2024,Disruption
3901,2024,Data theft
3901,2024,Hijacking with Misuse
3900,2024,Disruption
3900,2024,Hijacking with Misuse
3899,2022,Hijacking without Misuse
3898,2019,Hijacking with Misuse
3897,2024,Disruption
